FIPS,County,State,Sector,Submarket,Submarket Description,Market,Market Description,VISN,VISN Description,SAS Format,BY16 Sector,Change Indicator,
23019,Penobscot,MAINE,01-b-9-C,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23019' = '01-b-9-C',01-b-9-C,No Change,
23027,Waldo,MAINE,01-b-9-C,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23027' = '01-b-9-C',01-b-9-C,No Change,
23029,Washington,MAINE,01-b-9-C,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23029' = '01-b-9-C',01-b-9-C,No Change,
23003,Aroostook,MAINE,01-b-9-D,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23003' = '01-b-9-D',01-b-9-D,No Change,
23007,Franklin,MAINE,01-b-9-D,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23007' = '01-b-9-D',01-b-9-D,No Change,
23017,Oxford,MAINE,01-b-9-D,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23017' = '01-b-9-D',01-b-9-D,No Change,
23021,Piscataquis,MAINE,01-b-9-D,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23021' = '01-b-9-D',01-b-9-D,No Change,
23025,Somerset,MAINE,01-b-9-D,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23025' = '01-b-9-D',01-b-9-D,No Change,
33001,Belknap,NEW HAMPSHIRE,01-c-9-A,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33001' = '01-c-9-A',01-c-9-A,No Change,
33003,Carroll,NEW HAMPSHIRE,01-c-9-A,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33003' = '01-c-9-A',01-c-9-A,No Change,
33013,Merrimack,NEW HAMPSHIRE,01-c-9-A,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33013' = '01-c-9-A',01-c-9-A,No Change,
33015,Rockingham,NEW HAMPSHIRE,01-c-9-A,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33015' = '01-c-9-A',01-c-9-A,No Change,
33017,Strafford,NEW HAMPSHIRE,01-c-9-A,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33017' = '01-c-9-A',01-c-9-A,No Change,
50003,Bennington,VERMONT,01-c-9-B,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50003' = '01-c-9-B',01-c-9-B,No Change,
50017,Orange,VERMONT,01-c-9-B,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50017' = '01-c-9-B',01-c-9-B,No Change,
50021,Rutland,VERMONT,01-c-9-B,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50021' = '01-c-9-B',01-c-9-B,No Change,
50025,Windham,VERMONT,01-c-9-B,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50025' = '01-c-9-B',01-c-9-B,No Change,
50027,Windsor,VERMONT,01-c-9-B,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50027' = '01-c-9-B',01-c-9-B,No Change,
50001,Addison,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50001' = '01-c-9-C',01-c-9-C,No Change,
50005,Caledonia,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50005' = '01-c-9-C',01-c-9-C,No Change,
50007,Chittenden,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50007' = '01-c-9-C',01-c-9-C,No Change,
50009,Essex,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50009' = '01-c-9-C',01-c-9-C,No Change,
50011,Franklin,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50011' = '01-c-9-C',01-c-9-C,No Change,
50013,Grand Isle,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50013' = '01-c-9-C',01-c-9-C,No Change,
50015,Lamoille,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50015' = '01-c-9-C',01-c-9-C,No Change,
50019,Orleans,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50019' = '01-c-9-C',01-c-9-C,No Change,
50023,Washington,VERMONT,01-c-9-C,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'50023' = '01-c-9-C',01-c-9-C,No Change,
33011,Hillsborough,NEW HAMPSHIRE,01-c-9-D,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33011' = '01-c-9-D',01-c-9-D,No Change,
33005,Cheshire,NEW HAMPSHIRE,01-c-9-E,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33005' = '01-c-9-E',01-c-9-E,No Change,
33007,Coos,NEW HAMPSHIRE,01-c-9-E,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33007' = '01-c-9-E',01-c-9-E,No Change,
33009,Grafton,NEW HAMPSHIRE,01-c-9-E,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33009' = '01-c-9-E',01-c-9-E,No Change,
33019,Sullivan,NEW HAMPSHIRE,01-c-9-E,01-c-9,V01_North,01-c,V01_North,01,VA New England Healthcare System,'33019' = '01-c-9-E',01-c-9-E,No Change,
09009,New Haven,CONNECTICUT,01-d-9-A,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'09009' = '01-d-9-A',01-d-9-A,No Change,
09003,Hartford,CONNECTICUT,01-d-9-B,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'09003' = '01-d-9-B',01-d-9-B,No Change,
09007,Middlesex,CONNECTICUT,01-d-9-C,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'09007' = '01-d-9-C',01-d-9-C,No Change,
09011,New London,CONNECTICUT,01-d-9-C,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'09011' = '01-d-9-C',01-d-9-C,No Change,
09013,Tolland,CONNECTICUT,01-d-9-C,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'09013' = '01-d-9-C',01-d-9-C,No Change,
09015,Windham,CONNECTICUT,01-d-9-C,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'09015' = '01-d-9-C',01-d-9-C,No Change,
09001,Fairfield,CONNECTICUT,01-d-9-D,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'09001' = '01-d-9-D',01-d-9-D,No Change,
25013,Hampden,MASSACHUSETTS,01-d-9-E,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'25013' = '01-d-9-E',01-d-9-E,No Change,
25003,Berkshire,MASSACHUSETTS,01-d-9-F,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'25003' = '01-d-9-F',01-d-9-F,No Change,
25011,Franklin,MASSACHUSETTS,01-d-9-F,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'25011' = '01-d-9-F',01-d-9-F,No Change,
25015,Hampshire,MASSACHUSETTS,01-d-9-F,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'25015' = '01-d-9-F',01-d-9-F,No Change,
09005,Litchfield,CONNECTICUT,01-d-9-G,01-d-9,V01_West,01-d,V01_West,01,VA New England Healthcare System,'09005' = '01-d-9-G',01-d-9-G,No Change,
36083,Rensselaer,NEW YORK,02-a-9-A,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36083' = '02-a-9-A',02-a-9-A,No Change,
36091,Saratoga,NEW YORK,02-a-9-A,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36091' = '02-a-9-A',02-a-9-A,No Change,
36093,Schenectady,NEW YORK,02-a-9-A,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36093' = '02-a-9-A',02-a-9-A,No Change,
36019,Clinton,NEW YORK,02-a-9-B,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36019' = '02-a-9-B',02-a-9-B,No Change,
36031,Essex,NEW YORK,02-a-9-B,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36031' = '02-a-9-B',02-a-9-B,No Change,
36033,Franklin,NEW YORK,02-a-9-B,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36033' = '02-a-9-B',02-a-9-B,No Change,
36035,Fulton,NEW YORK,02-a-9-B,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36035' = '02-a-9-B',02-a-9-B,No Change,
36041,Hamilton,NEW YORK,02-a-9-B,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36041' = '02-a-9-B',02-a-9-B,No Change,
36057,Montgomery,NEW YORK,02-a-9-B,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36057' = '02-a-9-B',02-a-9-B,No Change,
36113,Warren,NEW YORK,02-a-9-B,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36113' = '02-a-9-B',02-a-9-B,No Change,
36115,Washington,NEW YORK,02-a-9-B,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36115' = '02-a-9-B',02-a-9-B,No Change,
36021,Columbia,NEW YORK,02-a-9-C,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36021' = '02-a-9-C',02-a-9-C,No Change,
36025,Delaware,NEW YORK,02-a-9-C,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36025' = '02-a-9-C',02-a-9-C,No Change,
36039,Greene,NEW YORK,02-a-9-C,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36039' = '02-a-9-C',02-a-9-C,No Change,
36077,Otsego,NEW YORK,02-a-9-C,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36077' = '02-a-9-C',02-a-9-C,No Change,
36095,Schoharie,NEW YORK,02-a-9-C,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36095' = '02-a-9-C',02-a-9-C,No Change,
36111,Ulster,NEW YORK,02-a-9-C,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36111' = '02-a-9-C',02-a-9-C,No Change,
36001,Albany,NEW YORK,02-a-9-D,02-a-9,V02_Eastern,02-a,V02_Eastern,02,NY/NJ VA Health Care Network,'36001' = '02-a-9-D',02-a-9-D,No Change,
36067,Onondaga,NEW YORK,02-b-9-A,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36067' = '02-b-9-A',02-b-9-A,No Change,
36007,Broome,NEW YORK,02-b-9-B,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36007' = '02-b-9-B',02-b-9-B,No Change,
36017,Chenango,NEW YORK,02-b-9-B,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36017' = '02-b-9-B',02-b-9-B,No Change,
36023,Cortland,NEW YORK,02-b-9-B,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36023' = '02-b-9-B',02-b-9-B,No Change,
36109,Tompkins,NEW YORK,02-b-9-B,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36109' = '02-b-9-B',02-b-9-B,No Change,
36045,Jefferson,NEW YORK,02-b-9-C,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36045' = '02-b-9-C',02-b-9-C,No Change,
36049,Lewis,NEW YORK,02-b-9-C,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36049' = '02-b-9-C',02-b-9-C,No Change,
36089,Saint Lawrence,NEW YORK,02-b-9-C,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36089' = '02-b-9-C',02-b-9-C,No Change,
36011,Cayuga,NEW YORK,02-b-9-D,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36011' = '02-b-9-D',02-b-9-D,No Change,
36053,Madison,NEW YORK,02-b-9-D,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36053' = '02-b-9-D',02-b-9-D,No Change,
36075,Oswego,NEW YORK,02-b-9-D,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36075' = '02-b-9-D',02-b-9-D,No Change,
36043,Herkimer,NEW YORK,02-b-9-E,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36043' = '02-b-9-E',02-b-9-E,No Change,
36065,Oneida,NEW YORK,02-b-9-E,02-b-9,V02_Central,02-b,V02_Central,02,NY/NJ VA Health Care Network,'36065' = '02-b-9-E',02-b-9-E,No Change,
36029,Erie,NEW YORK,02-d-9-A,02-d-9,V02_Western,02-d,V02_Western,02,NY/NJ VA Health Care Network,'36029' = '02-d-9-A',02-d-9-A,No Change,
36009,Cattaraugus,NEW YORK,02-d-9-B,02-d-9,V02_Western,02-d,V02_Western,02,NY/NJ VA Health Care Network,'36009' = '02-d-9-B',02-d-9-B,No Change,
36037,Genesee,NEW YORK,02-d-9-B,02-d-9,V02_Western,02-d,V02_Western,02,NY/NJ VA Health Care Network,'36037' = '02-d-9-B',02-d-9-B,No Change,
36063,Niagara,NEW YORK,02-d-9-B,02-d-9,V02_Western,02-d,V02_Western,02,NY/NJ VA Health Care Network,'36063' = '02-d-9-B',02-d-9-B,No Change,
36073,Orleans,NEW YORK,02-d-9-B,02-d-9,V02_Western,02-d,V02_Western,02,NY/NJ VA Health Care Network,'36073' = '02-d-9-B',02-d-9-B,No Change,
36121,Wyoming,NEW YORK,02-d-9-B,02-d-9,V02_Western,02-d,V02_Western,02,NY/NJ VA Health Care Network,'36121' = '02-d-9-B',02-d-9-B,No Change,
36055,Monroe,NEW YORK,02-e-1-A,02-e-1,V02_Finger_Lakes_Sub_Rochester,02-e,V02_Finger_Lakes,02,NY/NJ VA Health Care Network,'36055' = '02-e-1-A',02-e-1-A,No Change,
36051,Livingston,NEW YORK,02-e-2-A,02-e-2,V02_Finger_Lakes_Sub_Canandaigua,02-e,V02_Finger_Lakes,02,NY/NJ VA Health Care Network,'36051' = '02-e-2-A',02-e-2-A,No Change,
36069,Ontario,NEW YORK,02-e-2-A,02-e-2,V02_Finger_Lakes_Sub_Canandaigua,02-e,V02_Finger_Lakes,02,NY/NJ VA Health Care Network,'36069' = '02-e-2-A',02-e-2-A,No Change,
36099,Seneca,NEW YORK,02-e-2-A,02-e-2,V02_Finger_Lakes_Sub_Canandaigua,02-e,V02_Finger_Lakes,02,NY/NJ VA Health Care Network,'36099' = '02-e-2-A',02-e-2-A,No Change,
36117,Wayne,NEW YORK,02-e-2-A,02-e-2,V02_Finger_Lakes_Sub_Canandaigua,02-e,V02_Finger_Lakes,02,NY/NJ VA Health Care Network,'36117' = '02-e-2-A',02-e-2-A,No Change,
36003,Allegany,NEW YORK,02-f-2-A,02-f-2,V02_Southern_Tier_Sub_Bath,02-f,V02_Southern_Tier,02,NY/NJ VA Health Care Network,'36003' = '02-f-2-A',02-f-2-A,No Change,
36015,Chemung,NEW YORK,02-f-2-A,02-f-2,V02_Southern_Tier_Sub_Bath,02-f,V02_Southern_Tier,02,NY/NJ VA Health Care Network,'36015' = '02-f-2-A',02-f-2-A,No Change,
36097,Schuyler,NEW YORK,02-f-2-A,02-f-2,V02_Southern_Tier_Sub_Bath,02-f,V02_Southern_Tier,02,NY/NJ VA Health Care Network,'36097' = '02-f-2-A',02-f-2-A,No Change,
36101,Steuben,NEW YORK,02-f-2-A,02-f-2,V02_Southern_Tier_Sub_Bath,02-f,V02_Southern_Tier,02,NY/NJ VA Health Care Network,'36101' = '02-f-2-A',02-f-2-A,No Change,
36123,Yates,NEW YORK,02-f-2-A,02-f-2,V02_Southern_Tier_Sub_Bath,02-f,V02_Southern_Tier,02,NY/NJ VA Health Care Network,'36123' = '02-f-2-A',02-f-2-A,No Change,
42105,Potter,PENNSYLVANIA,02-f-2-A,02-f-2,V02_Southern_Tier_Sub_Bath,02-f,V02_Southern_Tier,02,NY/NJ VA Health Care Network,'42105' = '02-f-2-A',02-f-2-A,No Change,
42117,Tioga,PENNSYLVANIA,02-f-2-A,02-f-2,V02_Southern_Tier_Sub_Bath,02-f,V02_Southern_Tier,02,NY/NJ VA Health Care Network,'42117' = '02-f-2-A',02-f-2-A,No Change,
36061,New York,NEW YORK,02-h-3-C,02-h-3,V02_VA_Metro_New_York_Sub_VA_Southeast_Metro_New_York,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36061' = '02-h-3-C',02-h-3-C,No Change,
36103,Suffolk,NEW YORK,02-g-9-A,02-g-9,V02_VA_Long_Island,02-g,V02_VA_Long_Island,02,NY/NJ VA Health Care Network,'36103' = '02-g-9-A',02-g-9-A,No Change,
36059,Nassau,NEW YORK,02-g-9-B,02-g-9,V02_VA_Long_Island,02-g,V02_VA_Long_Island,02,NY/NJ VA Health Care Network,'36059' = '02-g-9-B',02-g-9-B,No Change,
36005,Bronx,NEW YORK,02-h-1-A,02-h-1,V02_VA_Metro_New_York_Sub_VA_North_Metro_Hudson_Valley,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36005' = '02-h-1-A',02-h-1-A,No Change,
36119,Westchester,NEW YORK,02-h-1-B,02-h-1,V02_VA_Metro_New_York_Sub_VA_North_Metro_Hudson_Valley,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36119' = '02-h-1-B',02-h-1-B,No Change,
36071,Orange,NEW YORK,02-h-1-C,02-h-1,V02_VA_Metro_New_York_Sub_VA_North_Metro_Hudson_Valley,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36071' = '02-h-1-C',02-h-1-C,No Change,
36105,Sullivan,NEW YORK,02-h-1-C,02-h-1,V02_VA_Metro_New_York_Sub_VA_North_Metro_Hudson_Valley,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36105' = '02-h-1-C',02-h-1-C,No Change,
36027,Dutchess,NEW YORK,02-h-1-D,02-h-1,V02_VA_Metro_New_York_Sub_VA_North_Metro_Hudson_Valley,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36027' = '02-h-1-D',02-h-1-D,No Change,
36079,Putnam,NEW YORK,02-h-1-D,02-h-1,V02_VA_Metro_New_York_Sub_VA_North_Metro_Hudson_Valley,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36079' = '02-h-1-D',02-h-1-D,No Change,
36087,Rockland,NEW YORK,02-h-1-E,02-h-1,V02_VA_Metro_New_York_Sub_VA_North_Metro_Hudson_Valley,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36087' = '02-h-1-E',02-h-1-E,No Change,
36047,Kings,NEW YORK,02-h-3-A,02-h-3,V02_VA_Metro_New_York_Sub_VA_Southeast_Metro_New_York,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36047' = '02-h-3-A',02-h-3-A,No Change,
36081,Queens,NEW YORK,02-h-3-B,02-h-3,V02_VA_Metro_New_York_Sub_VA_Southeast_Metro_New_York,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36081' = '02-h-3-B',02-h-3-B,No Change,
36085,Richmond,NEW YORK,02-h-3-D,02-h-3,V02_VA_Metro_New_York_Sub_VA_Southeast_Metro_New_York,02-h,V02_VA_Metro_New_York,02,NY/NJ VA Health Care Network,'36085' = '02-h-3-D',02-h-3-D,No Change,
34003,Bergen,NEW JERSEY,02-i-9-A,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34003' = '02-i-9-A',02-i-9-A,No Change,
34029,Ocean,NEW JERSEY,02-i-9-B,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34029' = '02-i-9-B',02-i-9-B,No Change,
34013,Essex,NEW JERSEY,02-i-9-C,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34013' = '02-i-9-C',02-i-9-C,No Change,
34023,Middlesex,NEW JERSEY,02-i-9-D,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34023' = '02-i-9-D',02-i-9-D,No Change,
34031,Passaic,NEW JERSEY,02-i-9-E,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34031' = '02-i-9-E',02-i-9-E,No Change,
34037,Sussex,NEW JERSEY,02-i-9-E,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34037' = '02-i-9-E',02-i-9-E,No Change,
34041,Warren,NEW JERSEY,02-i-9-E,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34041' = '02-i-9-E',02-i-9-E,No Change,
34019,Hunterdon,NEW JERSEY,02-i-9-F,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34019' = '02-i-9-F',02-i-9-F,No Change,
34021,Mercer,NEW JERSEY,02-i-9-F,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34021' = '02-i-9-F',02-i-9-F,No Change,
34035,Somerset,NEW JERSEY,02-i-9-F,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34035' = '02-i-9-F',02-i-9-F,No Change,
34039,Union,NEW JERSEY,02-i-9-G,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34039' = '02-i-9-G',02-i-9-G,No Change,
34025,Monmouth,NEW JERSEY,02-i-9-H,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34025' = '02-i-9-H',02-i-9-H,No Change,
34027,Morris,NEW JERSEY,02-i-9-I,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34027' = '02-i-9-I',02-i-9-I,No Change,
34017,Hudson,NEW JERSEY,02-i-9-J,02-i-9,V02_VA_New_Jersey,02-i,V02_VA_New_Jersey,02,NY/NJ VA Health Care Network,'34017' = '02-i-9-J',02-i-9-J,No Change,
36107,Tioga,NEW YORK,04-a-1-A,04-a-1,V04_Eastern_Sub_Central,04-a,V04_Eastern,04,VA Healthcare - VISN 4 ,'36107' = '04-a-1-A',04-a-1-A,No Change,
42015,Bradford,PENNSYLVANIA,04-a-1-A,04-a-1,V04_Eastern_Sub_Central,04-a,V04_Eastern,04,VA Healthcare - VISN 4 ,'42015' = '04-a-1-A',04-a-1-A,No Change,
42081,Lycoming,PENNSYLVANIA,04-a-1-A,04-a-1,V04_Eastern_Sub_Central,04-a,V04_Eastern,04,VA Healthcare - VISN 4 ,'42081' = '04-a-1-A',04-a-1-A,No Change,
